C1orf112,HPA023778;HPA024451;
CFH,CAB016385;CAB016769;HPA038922;HPA049176;HPA053326;
STPG1,HPA024301;
NIPAL3,HPA039978;
LAS1L,HPA044431;HPA061463;
ANKIB1,HPA019358;HPA021780;
CYP51A1,HPA041325;HPA043508;
KRIT1,HPA049606;
BAD,CAB004205;HPA028185;HPA062105;
CD99,CAB000020;HPA035304;
LASP1,HPA012072;CAB022049;
SNX11,HPA044787;HPA054660;
TMEM176A,HPA008770;
CYP26B1,HPA012567;
DBNDD1,HPA043018;
ALS2,HPA046588;
CFLAR,HPA019044;CAB022157;CAB025216;
RBM5,HPA017335;HPA018011;
SARM1,HPA024359;HPA024759;
KDM1A,CAB005884;HPA053660;
CAMKK1,CAB009111;HPA028062;
RECQL,CAB009743;HPA030960;HPA064259;
VPS50,HPA026679;
ARHGAP33,HPA030117;HPA030118;
ZMYND10,HPA035255;
SLC25A13,HPA018997;
ST7,HPA038325;HPA038326;
CDC27,CAB016315;HPA028129;HPA052399;HPA065835;
DVL2,CAB009312;HPA021611;HPA022914;HPA064732;
PRSS22,HPA049161;
UPF1,HPA019587;HPA020857;
SKAP2,HPA005560;HPA024045;
REXO5,HPA040755;HPA040868;HPA066145;
CIAPIN1,HPA041350;HPA042182;
MSL3,HPA034535;HPA034536;
CREBBP,CAB004212;HPA055861;
CROT,HPA019052;HPA019364;HPA019365;
ABCB4,HPA049395;HPA053288;
RHBDD2,HPA045074;HPA051960;
SOX8,HPA041640;HPA058665;
IBTK,HPA023826;HPA048438;
ZNF195,HPA030605;
FBXL3,HPA053283;HPA065626;
ITGA3,HPA008572;CAB018594;
ZFX,HPA001748;HPA003877;HPA071863;
REX1BD,HPA043414;
OSBPL7,HPA036076;HPA053083;HPA073967;
TMEM98,HPA040473;HPA053385;
ABCC8,CAB011451;HPA042318;
AP2B1,CAB017631;HPA056733;HPA067983;
ZNF263,HPA035085;HPA035086;
CX3CL1,CAB026192;HPA040361;
TNFRSF12A,HPA007853;
MAP3K9,HPA000942;
PHTF2,HPA012312;
FARP2,HPA031226;HPA055592;
IFRD1,HPA024122;HPA072413;
COX10,HPA032005;HPA032006;
ELAC2,HPA019535;
SCIN,HPA020518;HPA024264;
CDKL3,HPA027751;
UPP2,HPA035225;HPA035226;
PRSS21,HPA008477;
MARK4,HPA039186;
CCDC124,HPA041708;HPA046765;
PAFAH1B1,CAB004489;HPA020036;
SCN4A,HPA053992;
PAX6,HPA030775;CAB034143;
RPUSD1,HPA041144;HPA041938;
LUC7L,HPA056424;HPA069321;
PIGQ,HPA039105;HPA039828;HPA061414;
PSMB1,HPA029635;HPA029637;CAB033911;
DLEC1,HPA019077;
CYTH3,HPA013979;
AASS,HPA020637;HPA020728;HPA020734;
SS18L2,HPA047377;
NFIX,HPA007533;
HEATR5B,HPA042025;HPA055639;
SEC62,HPA014059;HPA061450;
RPS20,HPA003570;
CSDE1,HPA018846;HPA052221;
MASP2,HPA029313;HPA029314;
TRAF3IP3,HPA040796;
POMT2,HPA003663;
BAZ1B,CAB037081;CAB037158;HPA067010;
RANBP9,CAB033767;HPA050007;HPA076784;
ETV7,HPA029033;
SPRTN,HPA025073;
METTL13,HPA044498;HPA053705;
DYRK4,HPA028065;HPA056073;
ZNF207,HPA017013;HPA063908;
STARD3NL,HPA019204;
CD9,CAB002490;
NCAPD2,CAB012423;HPA036947;HPA037363;
PHF7,HPA036283;HPA070305;
FUZ,HPA041779;HPA042196;
ZNF200,HPA018981;HPA059310;
CD4,CAB000011;HPA004252;HPA004472;CAB068180;
LRRC23,HPA037766;HPA057533;
ELOA,HPA005910;
CLCN6,HPA032097;
NME1-NME2,CAB002169;HPA008467;HPA041113;CAB076057;
APBA3,HPA045577;
AKAP8L,HPA042485;HPA042546;
MBTD1,HPA021876;
RNF216,HPA018955;HPA021123;
TTC19,HPA023010;HPA052380;
PTBP1,CAB013507;
