TSPAN6,HPA004109;
TNMD,HPA034961;HPA055634;
DPM1,HPA051818;
SCYL3,HPA005624;
C1orf112,HPA023778;HPA024451;
FGR,HPA002024;
CFH,CAB016385;CAB016769;HPA038922;HPA049176;HPA053326;
FUCA2,HPA031659;HPA031661;
GCLC,CAB009569;HPA036359;HPA036360;
NFYA,CAB009250;HPA050779;
NIPAL3,HPA039978;
LAS1L,HPA044431;HPA061463;
ENPP4,HPA016594;
SEMA3F,HPA035008;
ANKIB1,HPA019358;HPA021780;
CYP51A1,HPA041325;HPA043508;
KRIT1,HPA049606;
BAD,CAB004205;HPA028185;HPA062105;
LAP3,HPA029606;HPA029607;
HS3ST1,HPA002237;
HECW1,HPA007203;HPA007593;HPA007609;
MAD1L1,HPA003635;CAB015338;
LASP1,HPA012072;CAB022049;
SNX11,HPA044787;HPA054660;
TMEM176A,HPA008770;
M6PR,CAB034464;HPA040445;
KLHL13,HPA046039;HPA059901;
CYP26B1,HPA012567;
ICA1,HPA017646;HPA061452;
DBNDD1,HPA043018;
ALS2,HPA046588;
CASP10,CAB003780;HPA017059;
CFLAR,HPA019044;CAB022157;CAB025216;
TFPI,HPA005575;CAB020842;
RBM5,HPA017335;HPA018011;
SARM1,HPA024359;HPA024759;
PLXND1,CAB020819;
AK2,HPA018479;CAB079913;
CD38,CAB002493;HPA022132;CAB025255;HPA052381;
FKBP4,HPA006148;CAB017441;HPA062857;
KDM1A,CAB005884;HPA053660;
RBM6,HPA026272;HPA027164;
RECQL,CAB009743;HPA030960;HPA064259;
HSPB6,CAB001974;HPA044153;HPA054811;
ARHGAP33,HPA030117;HPA030118;
PDK4,HPA056731;
SLC22A16,HPA036902;
SLC25A13,HPA018997;
ST7,HPA038325;HPA038326;
CDC27,CAB016315;HPA028129;HPA052399;HPA065835;
SLC4A1,HPA015584;CAB034438;HPA063911;
HCCS,HPA002946;
DVL2,CAB009312;HPA021611;HPA022914;HPA064732;
PRSS22,HPA049161;
UPF1,HPA019587;HPA020857;
SKAP2,HPA005560;HPA024045;
MCUB,HPA048776;
HOXA11,HPA006770;HPA035623;
MEOX1,HPA045214;HPA063788;
THSD7A,HPA000923;
LIG3,HPA006723;
RPAP3,HPA038311;HPA038312;
ACSM3,HPA041013;
REXO5,HPA040755;HPA040868;HPA066145;
CIAPIN1,HPA041350;HPA042182;
SPPL2B,CAB005592;HPA039292;
FAM214B,HPA048831;HPA055751;
COPZ2,HPA055999;
MSL3,HPA034535;HPA034536;
CREBBP,CAB004212;HPA055861;
TSPOAP1,HPA024662;HPA025244;
MPO,CAB000059;HPA021147;HPA061464;
PON1,HPA001610;
WDR54,HPA043257;HPA053558;
CROT,HPA019052;HPA019364;HPA019365;
KMT2E,HPA042866;HPA056125;
RHBDD2,HPA045074;HPA051960;
IBTK,HPA023826;HPA048438;
ZNF195,HPA030605;
ITGAL,CAB025011;
PDK2,HPA008287;
ITGA3,HPA008572;CAB018594;
ZFX,HPA001748;HPA003877;HPA071863;
LAMP2,CAB005272;HPA029100;HPA029101;
ITGA2B,CAB018611;HPA031168;HPA031169;HPA031170;HPA031171;
ASB4,HPA055240;
REX1BD,HPA043414;
CRLF1,HPA041493;HPA041793;
OSBPL7,HPA036076;HPA053083;HPA073967;
YBX2,CAB012332;HPA053904;HPA056744;
TMEM132A,HPA051979;HPA060492;
ZNF263,HPA035085;HPA035086;
CX3CL1,CAB026192;HPA040361;
CACNA1G,HPA004714;
TNFRSF12A,HPA007853;
DLX6,HPA030608;HPA061460;
MAP3K9,HPA000942;
RALA,HPA047037;HPA065232;
BAIAP2L1,HPA019484;HPA021257;HPA023874;HPA029503;
KDM7A,HPA012114;
AGK,HPA020959;HPA053471;
ALDH3B1,HPA038525;
